plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
1176,F,S_SS8,Severe,SS8,C,3,24,S_SS8_3,S_SS8_3_24,4,12,"4, 12"
1178,F,C,Control,C,D,1,19,C_1,C_1_19,4,2,"4, 2"
1179,F,S_RIC,Severe,RIC,A,1,34,S_RIC_1,S_RIC_1_34,6,8,"6, 8"
1180,F,L_SS8,Low,SS8,A,1,5,L_SS8_1,L_SS8_1_5,1,9,"1, 9"
1181,F,M_SS8,Medium,SS8,C,3,34,M_SS8_3,M_SS8_3_34,6,8,"6, 8"
1182,F,M_RIC,Medium,RIC,C,3,9,M_RIC_3,M_RIC_3_9,2,6,"2, 6"
1183,F,M_SD,Medium,SD,A,1,40,M_SD_1,M_SD_1_40,7,7,"7, 7"
1184,F,S_SS8,Severe,SS8,C,3,40,S_SS8_3,S_SS8_3_40,7,7,"7, 7"
1185,F,L_SS8,Low,SS8,B,2,4,L_SS8_2,L_SS8_2_4,1,7,"1, 7"
1186,F,L_SD,Low,SD,B,2,15,L_SD_2,L_SD_2_15,3,5,"3, 5"
1187,F,S_SS8,Severe,SS8,B,2,32,S_SS8_2,S_SS8_2_32,6,4,"6, 4"
1188,F,S_SS8,Severe,SS8,B,2,25,S_SS8_2,S_SS8_2_25,5,1,"5, 1"
1189,F,L_SS8,Low,SS8,A,1,19,L_SS8_1,L_SS8_1_19,4,2,"4, 2"
1192,F,M_RIC,Medium,RIC,B,2,18,M_RIC_2,M_RIC_2_18,3,11,"3, 11"
1195,F,S_SS8,Severe,SS8,B,2,10,S_SS8_2,S_SS8_2_10,2,8,"2, 8"
1196,F,S_SD,Severe,SD,B,2,16,S_SD_2,S_SD_2_16,3,7,"3, 7"
1197,F,M_SD,Medium,SD,B,2,24,M_SD_2,M_SD_2_24,4,12,"4, 12"
1199,F,M_SS8,Medium,SS8,A,1,17,M_SS8_1,M_SS8_1_17,3,9,"3, 9"
1200,F,M_RIC,Medium,RIC,B,2,34,M_RIC_2,M_RIC_2_34,6,8,"6, 8"
1202,F,M_SS8,Medium,SS8,B,2,37,M_SS8_2,M_SS8_2_37,7,1,"7, 1"
1205,F,S_RIC,Severe,RIC,A,1,11,S_RIC_1,S_RIC_1_11,2,10,"2, 10"
1207,F,S_SS8,Severe,SS8,A,1,36,S_SS8_1,S_SS8_1_36,6,12,"6, 12"
1208,F,M_SD,Medium,SD,A,1,8,M_SD_1,M_SD_1_8,2,4,"2, 4"
1209,F,S_SD,Severe,SD,C,3,28,S_SD_3,S_SD_3_28,5,7,"5, 7"
1213,F,C,Control,C,D,1,3,C_1,C_1_3,1,5,"1, 5"
1214,F,S_SD,Severe,SD,B,2,37,S_SD_2,S_SD_2_37,7,1,"7, 1"
1215,F,M_SS8,Medium,SS8,A,1,10,M_SS8_1,M_SS8_1_10,2,8,"2, 8"
1217,F,S_SD,Severe,SD,C,3,25,S_SD_3,S_SD_3_25,5,1,"5, 1"
1218,F,S_SD,Severe,SD,B,2,21,S_SD_2,S_SD_2_21,4,6,"4, 6"
1219,F,L_SD,Low,SD,C,3,41,L_SD_3,L_SD_3_41,7,9,"7, 9"
1222,F,S_SS8,Severe,SS8,A,1,7,S_SS8_1,S_SS8_1_7,2,2,"2, 2"
1225,F,M_RIC,Medium,RIC,B,2,7,M_RIC_2,M_RIC_2_7,2,2,"2, 2"
